线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
浦东35路,,沪A37267D,1,康恩路康浦路,10:45,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:54,129分钟,,,按该车自身同方向、同类时段历史全程时间中位数129分钟估算，约±6分钟,6,06:31,10:20,SHMAAS,,,,,10:45,计划发车,B,同车历史全程时间,是,2,2,136.5,4/28
浦东35路,,沪A55102D,1,康恩路康浦路,11:00,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,13:05,125分钟,,,按该车自身同方向、同类时段历史全程时间中位数125分钟估算，约±5分钟,5,07:12,10:20,SHMAAS,,,,,11:00,计划发车,B,同车历史全程时间,是,2,2,133.0,3/28
浦东78路,,沪A56630D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:57,108分钟,,,SHMAAS末次终点ETA推算：07:50采样，终点ETA 7分钟,,06:00,09:30,SHMAAS,,,,,06:10,计划发车,B,末次终点ETA兜底,是,2,2,102.0,18/18
浦东78路,,沪A58633D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,112分钟,,,SHMAAS末次终点ETA推算：08:10采样，终点ETA 7分钟,,06:00,10:20,SHMAAS,,,,,06:25,计划发车,B,末次终点ETA兜底,是,3,3,97.7,15/18
浦东78路,,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:12,92分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,10:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,3,3,88.7,7/18
浦东78路,,沪A55207D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:33,114分钟,,,SHMAAS末次终点ETA推算：08:30采样，终点ETA 3分钟,,06:00,10:10,SHMAAS,,,,,06:40,计划发车,B,末次终点ETA兜底,是,3,3,94.0,13/18
浦东78路,,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:27,97分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,10:20,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,3,3,88.0,6/18
浦东78路,,沪A59117D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:43,113分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:20,10:10,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,2,2,99.5,17/18
浦东78路,,沪A35616D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:52,112分钟,,,SHMAAS末次终点ETA推算：08:40采样，终点ETA 12分钟,,06:30,10:20,SHMAAS,,,,,07:00,计划发车,B,末次终点ETA兜底,是,3,3,94.3,14/18
浦东78路,,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:31,91分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,10:20,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,3,3,89.7,10/18
浦东78路,,沪A35591D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:02,112分钟,,,SHMAAS末次终点ETA推算：08:50采样，终点ETA 12分钟,,06:50,10:20,SHMAAS,,,,,07:10,计划发车,B,末次终点ETA兜底,是,2,2,99.0,16/18
浦东78路,,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:51,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:50,10:20,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,3,3,87.7,5/18
浦东78路,,沪A57022D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:01,101分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:00,10:20,SHMAAS,,,,,07:20,计划发车,A,终点ETA确认/一致估算,是,3,3,89.3,9/18
浦东78路,,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:02,92分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,07:00,10:20,SHMAAS,,,,,07:30,计划发车,A,终点ETA确认/一致估算,是,2,2,87.5,4/18
浦东78路,,沪A66391D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:06,97分钟,,,SHMAAS末次终点ETA推算：09:00采样，终点ETA 6分钟,,06:00,10:20,SHMAAS,,,,,07:30,计划发车,B,末次终点ETA兜底,是,2,2,86.5,2/18
浦东78路,,沪A57902D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:13,91分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:20,09:10,SHMAAS,,,,,07:42,计划发车,A,终点ETA确认/一致估算,是,1,1,91.0,11/18
浦东78路,,沪A52736D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:12,87分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,10:20,SHMAAS,,,,,07:45,计划发车,A,终点ETA确认/一致估算,是,2,2,87.0,3/18
浦东78路,,沪A55150D,0,港城路地铁站,07:54,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:34,100分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,10:20,SHMAAS,,,,,07:54,计划发车,A,终点ETA确认/一致估算,是,2,2,91.5,12/18
浦东78路,,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:39,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,09:30,SHMAAS,,,,,08:03,计划发车,A,终点ETA确认/一致估算,是,2,2,102.0,18/18
浦东78路,,沪A53629D,0,港城路地铁站,08:06,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:35,89分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,09:30,SHMAAS,,,,,08:06,计划发车,A,终点ETA确认/一致估算,是,1,1,89.0,8/18
浦东78路,,沪A35172D,0,港城路地铁站,08:18,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:52,94分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,10:20,SHMAAS,,,,,08:18,计划发车,A,终点ETA确认/一致估算,是,3,3,88.7,7/18
浦东78路,,沪A58633D,1,锦带路迎春路（浦东新区办公中心）,08:19,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:48,89分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:00,10:20,SHMAAS,,,,,08:15,终点确认到达+2分钟（覆盖计划时间）,A,终点ETA确认/一致估算,是,3,3,97.7,15/18
浦东78路,,沪A36930D,1,锦带路迎春路（浦东新区办公中心）,08:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:56,86分钟,,,09:20采样：该车到重点站金高路俱进路 ETA 0分钟；叠加该车自身同类时段从该站到终点历史中位数36分钟，约±5分钟,5,07:40,09:20,SHMAAS,,,,,08:30,计划发车,B,同车重点站剩余时间,是,1,1,86.0,1/18
浦东78路,,沪A51173D,0,港城路地铁站,08:30,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:53,83分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,10:20,SHMAAS,,,,,08:30,计划发车,A,终点ETA确认/一致估算,是,3,3,88.0,6/18
浦东78路,,沪A55207D,1,锦带路迎春路（浦东新区办公中心）,08:35,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:00,85分钟,,,SHMAAS末次终点ETA推算：09:40采样，终点ETA 20分钟,,06:00,10:10,SHMAAS,,,,,08:35,计划发车,B,末次终点ETA兜底,是,3,3,94.0,13/18
浦东78路,,沪A36809D,0,港城路地铁站,08:45,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:13,88分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,10:20,SHMAAS,,,,,08:45,计划发车,A,终点ETA确认/一致估算,是,3,3,89.7,10/18
浦东78路,,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,08:45,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:11,86分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:20,10:10,SHMAAS,,,,,08:45,计划发车,A,终点ETA确认/一致估算,是,2,2,99.5,17/18
浦东78路,,沪A35616D,1,锦带路迎春路（浦东新区办公中心）,08:57,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:21,84分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,10:20,SHMAAS,,,,,08:57,计划发车,A,终点ETA确认/一致估算,是,3,3,94.3,14/18
浦东78路,,沪A35186D,0,港城路地铁站,09:00,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:50,10:20,SHMAAS,,,,,09:00,计划发车,A,终点ETA确认/一致估算,是,3,3,87.7,5/18
浦东78路,,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,09:10,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:36,86分钟,,,SHMAAS末次终点ETA推算：10:20采样，终点ETA 16分钟,,06:50,10:20,SHMAAS,,,,,09:10,计划发车,B,末次终点ETA兜底,是,2,2,99.0,16/18
浦东78路,,沪A56123D,0,港城路地铁站,09:15,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:38,83分钟,,,SHMAAS末次终点ETA推算：10:20采样，终点ETA 18分钟,,07:00,10:20,SHMAAS,,,,,09:15,计划发车,B,末次终点ETA兜底,是,2,2,87.5,4/18
浦东78路,,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,09:20,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:39,79分钟,,,SHMAAS末次终点ETA推算：10:20采样，终点ETA 19分钟,,07:00,10:20,SHMAAS,,,,,09:20,计划发车,B,末次终点ETA兜底,是,3,3,89.3,9/18
浦东78路,,沪A52736D,0,港城路地铁站,09:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:57,87分钟,,,10:20采样：该车到重点站张杨北路博兴路 ETA 6分钟；叠加该车自身同类时段从该站到终点历史中位数31分钟，约±5分钟,5,06:00,10:20,SHMAAS,,,,,09:30,计划发车,B,同车重点站剩余时间,是,2,2,87.0,3/18
浦东78路,,沪A66391D,1,锦带路迎春路（浦东新区办公中心）,09:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:46,76分钟,,,10:00采样：该车到重点站巨峰路成园路 ETA 7分钟；叠加该车自身同类时段从该站到终点历史中位数38分钟，约±5分钟,5,06:00,10:20,SHMAAS,,,,,09:30,计划发车,B,同车重点站剩余时间,是,2,2,86.5,2/18
浦东78路,,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,09:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:07,83分钟,,,10:20采样：该车到重点站金高路行泰路 ETA 9分钟；叠加该车自身同类时段从该站到终点历史中位数38分钟，约±5分钟,5,06:00,10:20,SHMAAS,,,,,09:45,计划发车,B,同车重点站剩余时间,是,2,2,91.5,12/18
浦东78路,,沪A58633D,0,港城路地铁站,09:55,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:27,92分钟,,,10:20采样：该车到重点站金高路东靖路 ETA 11分钟；叠加该车自身同类时段从该站到终点历史中位数56分钟，约±13分钟,13,06:00,10:20,SHMAAS,,,,,09:55,计划发车,C,同车重点站剩余时间,是,3,3,97.7,15/18
浦东78路,,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,10:10,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:29,80分钟,,,10:20采样：该车到重点站云山路灵山路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数65分钟，约±9分钟,9,06:30,10:20,SHMAAS,,,,,10:10,计划发车,B,同车重点站剩余时间,是,3,3,88.7,7/18
浦东78路,,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,10:20,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:43,84分钟,,,10:20采样：该车到重点站云山路灵山路 ETA 15分钟；叠加该车自身同类时段从该站到终点历史中位数68分钟，约±5分钟,5,06:30,10:20,SHMAAS,,,,,10:20,计划发车,B,同车重点站剩余时间,是,3,3,88.0,6/18
浦东78路,,沪A55207D,0,港城路地铁站,10:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:43,83分钟,,,按该车自身同方向、同类时段历史全程时间中位数83分钟估算，约±11分钟,11,06:00,10:10,SHMAAS,,,,,10:20,计划发车,C,同车历史全程时间,是,3,3,94.0,13/18
浦东78路,,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,10:35,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:04,90分钟,,,按该车自身同方向、同类时段历史全程时间中位数90分钟估算，约±12分钟,12,06:30,10:20,SHMAAS,,,,,10:35,计划发车,C,同车历史全程时间,是,3,3,89.7,10/18
浦东78路,,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,10:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:10,86分钟,,,按该车自身同方向、同类时段历史全程时间中位数86分钟估算，约±5分钟,5,06:50,10:20,SHMAAS,,,,,10:45,计划发车,B,同车历史全程时间,是,3,3,87.7,5/18
浦东78路,,沪A35616D,0,港城路地铁站,10:45,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:12,87分钟,,,按该车自身同方向、同类时段历史全程时间中位数87分钟估算，约±14分钟,14,06:30,10:20,SHMAAS,,,,,10:45,计划发车,C,同车历史全程时间,是,3,3,94.3,14/18
浦东78路,,沪A57022D,0,港城路地铁站,11:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:38,88分钟,,,按该车自身同方向、同类时段历史全程时间中位数88分钟估算，约±15分钟,15,07:00,10:20,SHMAAS,,,,,11:10,计划发车,C,同车历史全程时间,是,3,3,89.3,9/18
