临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,17:05,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:42,97分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:50,20:20,SHMAAS,,,,,17:05,计划发车,A,终点ETA确认/一致估算,是,6,6,92.5,15/18
,沪A53629D,0,港城路地铁站,17:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:44,94分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,20:20,SHMAAS,,,,,17:10,计划发车,A,终点ETA确认/一致估算,是,4,4,85.5,3/18
,沪A66391D,1,锦带路迎春路（浦东新区办公中心）,17:15,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,18:45,90分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,18:40,SHMAAS,,,,,17:15,计划发车,A,终点ETA确认/一致估算,是,6,6,82.5,1/18
,沪A51173D,0,港城路地铁站,17:25,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:03,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,20:20,SHMAAS,,,,,17:25,计划发车,A,终点ETA确认/一致估算,是,6,5,90.0,11/18
,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,17:25,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:01,96分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,20:20,SHMAAS,,,,,17:25,计划发车,A,终点ETA确认/一致估算,是,6,6,86.5,5/18
,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,17:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:31,111分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,19:30,SHMAAS,,,,,17:40,计划发车,A,终点ETA确认/一致估算,是,7,7,93.7,16/18
,沪A58633D,0,港城路地铁站,17:40,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:15,95分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,19:10,SHMAAS,,,,,17:40,计划发车,A,终点ETA确认/一致估算,是,7,7,90.9,13/18
,沪A35186D,0,港城路地铁站,17:55,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:33,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:50,20:20,SHMAAS,,,,,17:55,计划发车,A,终点ETA确认/一致估算,是,6,5,90.6,12/18
,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,17:55,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:35,100分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,19:30,SHMAAS,,,,,17:55,计划发车,A,终点ETA确认/一致估算,是,7,7,91.9,14/18
,沪A55207D,0,港城路地铁站,18:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:48,98分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,19:40,SHMAAS,,,,,18:10,计划发车,A,终点ETA确认/一致估算,是,7,7,94.3,17/18
,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,18:10,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,19:46,96分钟,,,SHMAAS末次终点ETA推算：19:40采样，终点ETA 6分钟,,07:00,19:40,SHMAAS,,,,,18:10,计划发车,B,末次终点ETA兜底,是,7,7,88.3,8/18
,沪A56630D,0,港城路地铁站,18:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,20:00,95分钟,,,SHMAAS末次终点ETA推算：19:50采样，终点ETA 10分钟,,06:00,20:20,SHMAAS,,,,,18:25,计划发车,B,末次终点ETA兜底,是,6,6,95.8,18/18
,沪A57902D,1,锦带路迎春路（浦东新区办公中心）,18:35,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:00,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:20,19:50,SHMAAS,,,,,18:35,计划发车,A,终点ETA确认/一致估算,是,4,4,86.8,6/18
,沪A57022D,0,港城路地铁站,18:40,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:02,82分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,20:00,SHMAAS,,,,,18:40,计划发车,A,终点ETA确认/一致估算,是,7,7,89.1,10/18
,沪A53629D,1,锦带路迎春路（浦东新区办公中心）,19:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:00,20:20,SHMAAS,,,,,19:00,计划发车,A,终点ETA确认/一致估算,是,4,4,85.5,3/18
,沪A59117D,0,港城路地铁站,19:05,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:21,76分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:20,20:20,SHMAAS,,,,,19:05,计划发车,A,终点ETA确认/一致估算,是,6,6,88.2,7/18
,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,19:25,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:52,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,20:20,SHMAAS,,,,,19:25,计划发车,A,终点ETA确认/一致估算,是,6,5,90.0,11/18
,沪A35591D,0,港城路地铁站,19:30,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:55,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:50,20:20,SHMAAS,,,,,19:30,计划发车,A,终点ETA确认/一致估算,是,6,6,92.5,15/18
,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,19:50,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,21:14,84分钟,,,20:20采样：该车到重点站五莲路凌河路 ETA 4分钟；叠加该车自身同类时段从该站到终点历史中位数50分钟，约±5分钟,5,06:50,20:20,SHMAAS,,,,,19:50,计划发车,B,同车重点站剩余时间,是,6,5,90.6,12/18
,沪A55150D,0,港城路地铁站,19:58,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,21:18,81分钟,,,20:20采样：该车到重点站杨高北路航津路 ETA 1分钟；叠加该车自身同类时段从该站到终点历史中位数57分钟，约±5分钟,5,06:00,20:20,SHMAAS,,,,,19:58,计划发车,B,同车重点站剩余时间,是,6,6,86.5,5/18
,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,20:15,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,21:39,84分钟,,,20:20采样：该车到重点站云山路灵山路 ETA 9分钟；叠加该车自身同类时段从该站到终点历史中位数70分钟，约±11分钟,11,06:00,20:20,SHMAAS,,,,,20:15,计划发车,C,同车重点站剩余时间,是,6,6,95.8,18/18
,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,20:40,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,21:56,76分钟,,,按该车自身同方向、同类时段历史全程时间中位数76分钟估算，约±8分钟,8,06:20,20:20,SHMAAS,,,,,20:40,计划发车,B,同车历史全程时间,是,6,6,88.2,7/18
,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,21:10,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,22:31,81分钟,,,按该车自身同方向、同类时段历史全程时间中位数81分钟估算，约±10分钟,10,06:50,20:20,SHMAAS,,,,,21:10,计划发车,B,同车历史全程时间,是,6,6,92.5,15/18
,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,21:40,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,23:01,81分钟,,,按该车自身同方向、同类时段历史全程时间中位数81分钟估算，约±5分钟,5,06:00,20:20,SHMAAS,,,,,21:40,计划发车,B,同车历史全程时间,是,6,6,86.5,5/18
