线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
浦东35路,,沪A62880D,0,东高路张杨北路,10:20,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:24,125分钟,,,10:20采样：该车到重点站浦东大道东波路 ETA 8分钟；叠加该车自身同类时段从该站到终点历史中位数116分钟，约±5分钟,5,07:01,10:20,SHMAAS,,,,,10:20,计划发车,B,同车重点站剩余时间,是,2,2,147.0,15/28
浦东35路,,沪A37267D,1,康恩路康浦路,10:30,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:36,126分钟,,,按该车自身同方向、同类时段历史全程时间中位数126分钟估算，约±6分钟,6,07:01,10:20,SHMAAS,,,,,10:30,计划发车,B,同车历史全程时间,是,2,2,138.0,5/28
浦东35路,,沪A57051D,0,东高路张杨北路,10:40,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:49,129分钟,,,按该车自身同方向、同类时段历史全程时间中位数129分钟估算，约±5分钟,5,07:11,10:20,SHMAAS,,,,,10:40,计划发车,B,同车历史全程时间,是,2,2,159.0,21/28
浦东35路,,沪A55102D,1,康恩路康浦路,10:45,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:50,125分钟,,,按该车自身同方向、同类时段历史全程时间中位数125分钟估算，约±5分钟,5,06:40,10:20,SHMAAS,,,,,10:45,计划发车,B,同车历史全程时间,是,2,2,134.0,2/28
浦东35路,,沪A65668D,0,东高路张杨北路,10:50,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:57,127分钟,,,按该车自身同方向、同类时段历史全程时间中位数127分钟估算，约±5分钟,5,07:20,10:20,SHMAAS,,,,,10:50,计划发车,B,同车历史全程时间,是,2,2,152.0,19/28
浦东35路,,沪A15790A,1,康恩路康浦路,11:00,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,13:05,125分钟,,,按该车自身同方向、同类时段历史全程时间中位数125分钟估算，约±5分钟,5,07:20,10:20,SHMAAS,,,,,11:00,计划发车,B,同车历史全程时间,是,2,2,133.5,1/28
浦东78路,,沪A35172D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,07:50,101分钟,,,SHMAAS末次终点ETA推算：07:30采样，终点ETA 20分钟,,06:00,09:31,SHMAAS,,,,,06:10,计划发车,B,末次终点ETA兜底,是,2,2,98.5,16/18
浦东78路,,沪A58633D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:17,112分钟,,,SHMAAS末次终点ETA推算：08:10采样，终点ETA 7分钟,,06:00,10:20,SHMAAS,,,,,06:25,计划发车,B,末次终点ETA兜底,是,3,3,94.0,9/18
浦东78路,,沪A55207D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:35,116分钟,,,SHMAAS末次终点ETA推算：08:30采样，终点ETA 5分钟,,06:00,10:20,SHMAAS,,,,,06:40,计划发车,B,末次终点ETA兜底,是,3,3,95.0,10/18
浦东78路,,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:06,86分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,10:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,3,3,84.3,1/18
浦东78路,,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:21,91分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,10:20,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,3,3,84.7,2/18
浦东78路,,沪A59117D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:42,113分钟,,,SHMAAS末次终点ETA推算：08:30采样，终点ETA 12分钟,,06:20,10:20,SHMAAS,,,,,06:50,计划发车,B,末次终点ETA兜底,是,2,2,96.0,12/18
浦东78路,,沪A35616D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:49,110分钟,,,同车下一次反向发车08:57，减去该车自身同类时段历史终点停站中位数8分钟，约±7分钟,7,06:30,10:20,SHMAAS,,,,,07:00,计划发车,B,同车反向发车反推,是,3,3,96.3,13/18
浦东78路,,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:31,91分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,10:20,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,3,3,91.7,6/18
浦东78路,,沪A35591D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:03,113分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:50,10:20,SHMAAS,,,,,07:10,计划发车,A,终点ETA确认/一致估算,是,2,2,97.5,14/18
浦东78路,,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:59,104分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:50,10:20,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,3,3,91.7,6/18
浦东78路,,沪A57022D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:16,116分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,10:20,SHMAAS,,,,,07:20,计划发车,A,终点ETA确认/一致估算,是,3,2,110.0,18/18
浦东78路,,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:06,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,10:20,SHMAAS,,,,,07:30,计划发车,A,终点ETA确认/一致估算,是,2,2,88.0,3/18
浦东78路,,沪A66391D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:16,106分钟,,,SHMAAS末次终点ETA推算：09:10采样，终点ETA 6分钟,,06:00,10:20,SHMAAS,,,,,07:30,计划发车,B,末次终点ETA兜底,是,2,2,93.5,8/18
浦东78路,,沪A53629D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:16,95分钟,,,08:10采样：该车到重点站金高路万安街 ETA 16分钟；叠加该车自身同类时段从该站到终点历史中位数50分钟，约±5分钟,5,07:18,08:50,SHMAAS,,,,,07:42,计划发车,B,同车重点站剩余时间,是,1,1,95.0,10/18
浦东78路,,沪A52736D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:23,98分钟,,,SHMAAS末次终点ETA推算：09:10采样，终点ETA 13分钟,,06:00,10:20,SHMAAS,,,,,07:45,计划发车,B,末次终点ETA兜底,是,2,1,98.0,15/18
浦东78路,,沪A55150D,0,港城路地铁站,07:54,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:34,100分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,10:20,SHMAAS,,,,,07:54,计划发车,A,终点ETA确认/一致估算,是,2,2,90.5,5/18
浦东78路,,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:39,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,09:31,SHMAAS,,,,,08:03,计划发车,A,终点ETA确认/一致估算,是,2,2,98.5,16/18
浦东78路,,沪A57902D,0,港城路地铁站,08:06,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:47,101分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,09:31,SHMAAS,,,,,08:06,计划发车,A,终点ETA确认/一致估算,是,1,1,101.0,17/18
浦东78路,,沪A56630D,0,港城路地铁站,08:18,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:44,86分钟,,,09:40采样：该车到重点站丁香路民生路 ETA 1分钟；叠加该车自身同类时段从该站到终点历史中位数3分钟，约±5分钟,5,06:30,10:20,SHMAAS,,,,,08:18,计划发车,B,同车重点站剩余时间,是,3,3,84.3,1/18
浦东78路,,沪A58633D,1,锦带路迎春路（浦东新区办公中心）,08:19,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:41,82分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,10:20,SHMAAS,,,,,08:16,终点确认到达+2分钟（覆盖计划时间）,A,终点ETA确认/一致估算,是,3,3,94.0,9/18
浦东78路,,沪A36930D,1,锦带路迎春路（浦东新区办公中心）,08:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:58,88分钟,,,SHMAAS末次终点ETA推算：09:50采样，终点ETA 8分钟,,07:30,09:50,SHMAAS,,,,,08:30,计划发车,B,末次终点ETA兜底,是,1,1,88.0,3/18
浦东78路,,沪A51173D,0,港城路地铁站,08:30,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:53,83分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,10:20,SHMAAS,,,,,08:30,计划发车,A,终点ETA确认/一致估算,是,3,3,84.7,2/18
浦东78路,,沪A55207D,1,锦带路迎春路（浦东新区办公中心）,08:35,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:55,80分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,10:20,SHMAAS,,,,,08:35,计划发车,A,终点ETA确认/一致估算,是,3,3,95.0,10/18
浦东78路,,沪A36809D,0,港城路地铁站,08:45,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:15,90分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,10:20,SHMAAS,,,,,08:45,计划发车,A,终点ETA确认/一致估算,是,3,3,91.7,6/18
浦东78路,,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,08:45,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:04,79分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:20,10:20,SHMAAS,,,,,08:45,计划发车,A,终点ETA确认/一致估算,是,2,2,96.0,12/18
浦东78路,,沪A35616D,1,锦带路迎春路（浦东新区办公中心）,08:57,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:28,91分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,10:20,SHMAAS,,,,,08:57,计划发车,A,终点ETA确认/一致估算,是,3,3,96.3,13/18
浦东78路,,沪A35186D,0,港城路地铁站,09:05,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:32,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:50,10:20,SHMAAS,,,,,09:05,计划发车,A,终点ETA确认/一致估算,是,3,3,91.7,6/18
浦东78路,,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,09:10,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:32,82分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:50,10:20,SHMAAS,,,,,09:10,计划发车,A,终点ETA确认/一致估算,是,2,2,97.5,14/18
浦东78路,,沪A56123D,0,港城路地铁站,09:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:40,80分钟,,,SHMAAS末次终点ETA推算：10:20采样，终点ETA 20分钟,,07:00,10:20,SHMAAS,,,,,09:20,计划发车,B,末次终点ETA兜底,是,2,2,88.0,3/18
浦东78路,,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,09:20,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:04,104分钟,,,同车下一次反向发车11:10，减去该车自身同类时段历史终点停站中位数6分钟，约±8分钟,8,07:00,10:20,SHMAAS,,,,,09:20,计划发车,B,同车反向发车反推,是,3,2,110.0,18/18
浦东78路,,沪A66391D,1,锦带路迎春路（浦东新区办公中心）,09:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,10:50,81分钟,,,10:20采样：该车到重点站花山路杨高北路 ETA 18分钟；叠加该车自身同类时段从该站到终点历史中位数12分钟，约±5分钟,5,06:00,10:20,SHMAAS,,,,,09:30,计划发车,B,同车重点站剩余时间,是,2,2,93.5,8/18
浦东78路,,沪A52736D,0,港城路地铁站,09:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,10:20,SHMAAS,,,,,09:40,计划发车,D,证据不足,否,2,1,98.0,15/18
浦东78路,,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,09:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:05,81分钟,,,10:20采样：该车到重点站金高路行泰路 ETA 7分钟；叠加该车自身同类时段从该站到终点历史中位数38分钟，约±5分钟,5,06:00,10:20,SHMAAS,,,,,09:45,计划发车,B,同车重点站剩余时间,是,2,2,90.5,5/18
浦东78路,,沪A58633D,0,港城路地铁站,10:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:28,88分钟,,,10:20采样：该车到重点站金高路东靖路 ETA 15分钟；叠加该车自身同类时段从该站到终点历史中位数53分钟，约±5分钟,5,06:00,10:20,SHMAAS,,,,,10:00,计划发车,B,同车重点站剩余时间,是,3,3,94.0,9/18
浦东78路,,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,10:10,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:31,81分钟,,,10:20采样：该车到重点站云山路灵山路 ETA 1分钟；叠加该车自身同类时段从该站到终点历史中位数70分钟，约±5分钟,5,06:30,10:20,SHMAAS,,,,,10:10,计划发车,B,同车重点站剩余时间,是,3,3,84.3,1/18
浦东78路,,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,10:20,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:40,80分钟,,,10:20采样：该车到重点站五莲路凌河路 ETA 31分钟；叠加该车自身同类时段从该站到终点历史中位数49分钟，约±5分钟,5,06:30,10:20,SHMAAS,,,,,10:20,计划发车,B,同车重点站剩余时间,是,3,3,84.7,2/18
浦东78路,,沪A55207D,0,港城路地铁站,10:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,11:49,89分钟,,,按该车自身同方向、同类时段历史全程时间中位数89分钟估算，约±12分钟,12,06:00,10:20,SHMAAS,,,,,10:20,计划发车,C,同车历史全程时间,是,3,3,95.0,10/18
浦东78路,,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,10:35,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:09,94分钟,,,按该车自身同方向、同类时段历史全程时间中位数94分钟估算，约±12分钟,12,06:30,10:20,SHMAAS,,,,,10:35,计划发车,C,同车历史全程时间,是,3,3,91.7,6/18
浦东78路,,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,10:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:08,84分钟,,,按该车自身同方向、同类时段历史全程时间中位数84分钟估算，约±5分钟,5,06:50,10:20,SHMAAS,,,,,10:45,计划发车,B,同车历史全程时间,是,3,3,91.7,6/18
浦东78路,,沪A35616D,0,港城路地铁站,10:45,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,12:12,88分钟,,,按该车自身同方向、同类时段历史全程时间中位数88分钟估算，约±14分钟,14,06:30,10:20,SHMAAS,,,,,10:45,计划发车,C,同车历史全程时间,是,3,3,96.3,13/18
浦东78路,,沪A57022D,0,港城路地铁站,11:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:00,10:20,SHMAAS,,,,,11:10,计划发车,D,证据不足,否,3,2,110.0,18/18
